timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716467095892,3,Login-0,302,Found,Thread Group 1-3,,true,,193,940,4,4,http://localhost:8080/jpetstore/actions/Account.action,3,0,0
1716467095895,1,Login-1,200,OK,Thread Group 1-3,text,true,,5069,685,4,4,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1716467095895,2,Main Catalog,200,OK,Thread Group 1-4,text,true,,5762,399,4,4,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467095917,7,Login,200,OK,Thread Group 1-1,text,true,,5262,1625,4,4,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1716467095917,4,Login-0,302,Found,Thread Group 1-1,,true,,193,940,4,4,http://localhost:8080/jpetstore/actions/Account.action,4,0,0
1716467095921,3,Login-1,200,OK,Thread Group 1-1,text,true,,5069,685,4,4,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1716467095931,3,Reptiles,200,OK,Thread Group 1-3,text,true,,3712,252,4,4,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,3,0,0
1716467095980,3,Sign In,200,OK,Thread Group 1-4,text,true,,3923,605,4,4,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=Cyh040DIwh0suhKAAxRyi18CwEQ9Bffd0qSi4igU.ppss-vb?signonForm=,3,0,0
1716467095989,2,Main Catalog,200,OK,Thread Group 1-2,text,true,,4832,468,4,4,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467095988,5,Sign Out,200,OK,Thread Group 1-3,text,true,,5255,1075,4,4,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1716467095988,3,Sign Out-0,302,Found,Thread Group 1-3,,true,,333,542,4,4,http://localhost:8080/jpetstore/actions/Account.action?signoff=,3,0,0
1716467095991,2,Sign Out-1,200,OK,Thread Group 1-3,text,true,,4922,533,4,4,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096002,3,Home,200,OK,Thread Group 1-3,text,true,,1497,391,4,4,http://localhost:8080/jpetstore/,1,0,0
1716467096002,1,Home-0,302,Found,Thread Group 1-3,,true,,146,195,4,4,http://localhost:8080/jpetstore,1,0,0
1716467096003,2,Home-1,200,OK,Thread Group 1-3,text,true,,1351,196,4,4,http://localhost:8080/jpetstore/,2,0,0
1716467096001,6,Dogs,200,OK,Thread Group 1-1,text,true,,4296,248,4,4,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,6,0,0
1716467096025,2,Main Catalog,200,OK,Thread Group 1-3,text,true,,4832,468,4,4,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096035,4,Sign Out,200,OK,Thread Group 1-1,text,true,,5255,1075,5,5,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096035,2,Sign Out-0,302,Found,Thread Group 1-1,,true,,333,542,5,5,http://localhost:8080/jpetstore/actions/Account.action?signoff=,2,0,0
1716467096037,2,Sign Out-1,200,OK,Thread Group 1-1,text,true,,4922,533,5,5,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096045,2,Sign In,200,OK,Thread Group 1-3,text,true,,3923,605,5,5,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=Cyh040DIwh0suhKAAxRyi18CwEQ9Bffd0qSi4igU.ppss-vb?signonForm=,2,0,0
1716467096081,6,Sign In,200,OK,Thread Group 1-2,text,true,,3923,605,5,5,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=Cyh040DIwh0suhKAAxRyi18CwEQ9Bffd0qSi4igU.ppss-vb?signonForm=,6,0,0
1716467096085,4,Login,200,OK,Thread Group 1-4,text,true,,5262,1625,5,5,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096085,2,Login-0,302,Found,Thread Group 1-4,,true,,193,940,5,5,http://localhost:8080/jpetstore/actions/Account.action,2,0,0
1716467096087,2,Login-1,200,OK,Thread Group 1-4,text,true,,5069,685,5,5,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096108,3,Home,200,OK,Thread Group 1-1,text,true,,1497,391,5,5,http://localhost:8080/jpetstore/,2,0,0
1716467096108,2,Home-0,302,Found,Thread Group 1-1,,true,,146,195,5,5,http://localhost:8080/jpetstore,2,0,0
1716467096110,1,Home-1,200,OK,Thread Group 1-1,text,true,,1351,196,5,5,http://localhost:8080/jpetstore/,1,0,0
1716467096120,3,Home,200,OK,Thread Group 1-5,text,true,,1497,253,5,5,http://localhost:8080/jpetstore/,2,0,0
1716467096120,2,Home-0,302,Found,Thread Group 1-5,,true,,146,126,5,5,http://localhost:8080/jpetstore,2,0,0
1716467096122,1,Home-1,200,OK,Thread Group 1-5,text,true,,1351,127,5,5,http://localhost:8080/jpetstore/,1,0,0
1716467096127,16,Reptiles,200,OK,Thread Group 1-4,text,true,,3712,252,5,5,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,2,0,0
1716467096146,2,Main Catalog,200,OK,Thread Group 1-1,text,true,,4832,468,5,5,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096146,2,Main Catalog,200,OK,Thread Group 1-5,text,true,,5762,399,5,5,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096166,2,Sign In,200,OK,Thread Group 1-1,text,true,,3925,605,5,5,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=Cyh040DIwh0suhKAAxRyi18CwEQ9Bffd0qSi4igU.ppss-vb?signonForm=,2,0,0
1716467096170,9,Login,200,OK,Thread Group 1-3,text,true,,5262,1625,5,5,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1716467096170,3,Login-0,302,Found,Thread Group 1-3,,true,,193,940,5,5,http://localhost:8080/jpetstore/actions/Account.action,3,0,0
1716467096173,6,Login-1,200,OK,Thread Group 1-3,text,true,,5069,685,5,5,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1716467096188,5,Login,200,OK,Thread Group 1-2,text,true,,5262,1625,5,5,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1716467096188,3,Login-0,302,Found,Thread Group 1-2,,true,,193,940,5,5,http://localhost:8080/jpetstore/actions/Account.action,3,0,0
1716467096192,1,Login-1,200,OK,Thread Group 1-2,text,true,,5069,685,5,5,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1716467096197,8,Sign In,200,OK,Thread Group 1-5,text,true,,3923,605,5,5,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=Cyh040DIwh0suhKAAxRyi18CwEQ9Bffd0qSi4igU.ppss-vb?signonForm=,8,0,0
1716467096205,4,Sign Out,200,OK,Thread Group 1-4,text,true,,5255,1075,5,5,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096205,2,Sign Out-0,302,Found,Thread Group 1-4,,true,,333,542,5,5,http://localhost:8080/jpetstore/actions/Account.action?signoff=,2,0,0
1716467096207,2,Sign Out-1,200,OK,Thread Group 1-4,text,true,,4922,533,5,5,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096233,4,Dogs,200,OK,Thread Group 1-3,text,true,,4296,248,6,6,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,4,0,0
